As World War I broke out. ||| As ||| As World War I broke out, his company received large government contracts for use of the material.
As many affirmed their satisfaction with Kruger's government. ||| as ||| Other uitlanders produced a counter-petition in which about as many affirmed their satisfaction with Kruger's government.
Since the 1880 eruption. ||| Since ||| Since the 1880 eruption, there has been no significant increase in seismic activity.
After his restoration to the Greek throne. ||| after ||| Her wish was fulfilled in 1940 after his restoration to the Greek throne.
As independence talks between Britain and Rhodesia gravitated towards stalemate. ||| As ||| As independence talks between Britain and Rhodesia gravitated towards stalemate, Beadle repeatedly attempted to arrange a compromise.
Before again accelerating. ||| before ||| Tracking southeastward, the remnant cyclone briefly slowed over open waters before again accelerating.
As a humiliation. ||| as ||| The French media and diplomatic corps viewed the result as a humiliation.
When the Senate convened for a special session on July 4. ||| When ||| When the Senate convened for a special session on July 4, 1861, Breckinridge stood almost alone in opposition to the war.
That is to say. ||| That ||| That is to say, Thucydides could simply have used two different writing styles for two different purposes.
Before he had scored and the English batsmen played and missed multiple times. ||| before ||| Lindwall dropped Hutton from Johnston's bowling before he had scored and the English batsmen played and missed multiple times.
Than 30 days in the highest alpine areas. ||| than ||| The growing season ranges from 150 days in the lower valleys to less than 30 days in the highest alpine areas.
Before returning to the United States. ||| before ||| He served in this position for only a year before returning to the United States.
That the self-immolators were actors. ||| that ||| These observations were used to advance the theory that the self-immolators were actors.
When Marie was heavily pregnant with their second child, the couple were at Como in Italy. ||| when ||| Late in 1837, when Marie was heavily pregnant with their second child, the couple were at Como in Italy.
That the migration was slow and steady, with incoming groups integrating into rather than conquering the existing society. ||| that ||| An alternative theory is that the migration was slow and steady, with incoming groups integrating into rather than conquering the existing society.
Since 1993 to 40 percent. ||| since ||| The Hokies' loss to Kansas lowered its bowl winning percentage since 1993 to 40 percent.
That he had authorised any payment to Newton or to anyone else connected with the case. ||| that ||| He denied that he had authorised any payment to Newton or to anyone else connected with the case.
That Shelley intended her play to be staged. ||| that ||| From this evidence, she argues that Shelley intended her play to be staged.
After being arrested. ||| After ||| After being arrested, he refused to identify himself and was charged with assault and drug possession.
As a result. ||| As ||| As a result, Saari finished in seventh place, far outside his global standard.
Where fresh water meets salt water, mangrove trees thrive, adapted as they are to both kinds of water. ||| where ||| At a transitional zone where fresh water meets salt water, mangrove trees thrive, adapted as they are to both kinds of water.
While living in Illinois. ||| while ||| She purchased her foundation sire Indraff in 1947, while living in Illinois.
As arid with four distinct seasons. ||| as ||| The climate at downstream Spanish Fork is classified as arid with four distinct seasons.
As Australia defeated Wellington in another innings victory. ||| as ||| Brown made 34 in the final tour match as Australia defeated Wellington in another innings victory.
After England's victory in the match. ||| After ||| After England's victory in the match, Jardine went to the Australian dressing room but had the door closed in his face.
That the impression was an illusion and that his bat was straight when he hit the ball. ||| that ||| Opposing bowlers suggested that the impression was an illusion and that his bat was straight when he hit the ball.
As he paddled the catamaran back. ||| as ||| Despite his frozen condition he shot and retrieved two guillemots as he paddled the catamaran back.
That she had not deliberately missed the Edgecombe trial but had been confused about the date. ||| that ||| She claimed that she had not deliberately missed the Edgecombe trial but had been confused about the date.
As President in November 1871. ||| as ||| Pretorius stepped down as President in November 1871.
As the aircraft neared the target area. ||| as ||| The weather was fine throughout the flight, but clouds were sighted as the aircraft neared the target area.
Where he joined Louis Baraguey d'Hilliers's foot dragoons division. ||| where ||| Dupont was eventually forced to fall back on Albeck, where he joined Louis Baraguey d'Hilliers's foot dragoons division.
As either Tutsi, Hutu, Twa or Naturalised. ||| as ||| In 1935, Belgium introduced identity cards labelling each individual as either Tutsi, Hutu, Twa or Naturalised.
After Windle noticed the incident. ||| after ||| Wenden was pulled from the water and saved after Windle noticed the incident.
That did not reach the second innings. ||| that ||| The match was a rain-affected draw that did not reach the second innings.
When first-class cricket restarted in 1919. ||| When ||| When first-class cricket restarted in 1919, Hirst resumed playing for Yorkshire.
While in past centuries Jain works had dominated Kannada literature. ||| While ||| While in past centuries Jain works had dominated Kannada literature, Shaiva and early Brahminical works became popular during the Hoysala reign.
After a weekend's rest. ||| After ||| After a weekend's rest, the marchers proceeded to Harrogate.
While Kansas was represented by Gale Sayers. ||| while ||| The coin toss featured former Virginia Tech star Bruce Smith, while Kansas was represented by Gale Sayers.
As it turned west-southwestward, and made landfall near Ormond Beach, Florida on September 5 as a minimal tropical storm. ||| as ||| The storm weakened as it turned west-southwestward, and made landfall near Ormond Beach, Florida on September 5 as a minimal tropical storm.
Than Virginia Tech did. ||| than ||| Boston College, in their first possession of the second half, fared even worse than Virginia Tech did.
If we return home. ||| If ||| If we return home, we both go.
Than 75 percent of the vote against Republican challenger Jim Polley. ||| than ||| In the general election, he garnered more than 75 percent of the vote against Republican challenger Jim Polley.
As the wave interacted within the Intertropical Convergence Zone. ||| as ||| Thunderstorm activity slowly increased as the wave interacted within the Intertropical Convergence Zone.
Since he had begun his career in politics. ||| since ||| The Empire which Rio Branco was asked to govern had undergone great changes since he had begun his career in politics.
After brief employment in London. ||| after ||| Accepting his discharge in 1912, Smith emigrated to Australia after brief employment in London.
Than Fettes, and developed both academically and musically. ||| than ||| Michael found Stamford much more congenial than Fettes, and developed both academically and musically.
That they had been dating for two years; they announced their engagement in May 2015. ||| that ||| In early 2015, Gillespie and Watkins revealed that they had been dating for two years; they announced their engagement in May 2015.
That time. ||| that ||| The federal district was named Columbia, which was a poetic name for the United States commonly in use at that time.
Before the Midnight Express left the promotion. ||| before ||| The two teams feuded throughout 1984 in Mid-South Wrestling before the Midnight Express left the promotion.
That lived in large long houses in stockaded villages. ||| that ||| They were a matriarchial society that lived in large long houses in stockaded villages.
When Hong was killed during the battle for the police headquarters. ||| when ||| However, the rebels also suffered a setback when Hong was killed during the battle for the police headquarters.
When Crawford came in to bat. ||| when ||| Surrey were 26 for five in reply to the tourists' innings of 436 when Crawford came in to bat.
As mercury and phosphorus. ||| as ||| Water-quality grades are based on measurements of dissolved oxygen, E-coli bacteria, temperature, suspended solids, and substances such as mercury and phosphorus.
After the publication of Casino Royale. ||| After ||| After the publication of Casino Royale, Fleming used his annual holiday at his house in Jamaica to write another Bond story.
Than the Lords. ||| than ||| The raising of these taxes affected the members of the Commons much more than the Lords.
As a 2-8-0 Consolidation type. ||| as ||| This locomotive was built in 1903 by American Locomotive Company as a 2-8-0 Consolidation type.
That were smaller than those of other players, he was among the best puck-catchers of his era. ||| that ||| Using gloves that were smaller than those of other players, he was among the best puck-catchers of his era.
While Tirpitz's crew suffered heavy casualties during this operation. ||| While ||| While Tirpitz's crew suffered heavy casualties during this operation, the battleship was not badly damaged.
As the permanent authority in the Commonwealth. ||| as ||| During this occupation, General Braxton Bragg attempted to install the provisional government as the permanent authority in the Commonwealth.
As the title for Fred Shuttlesworth's biography. ||| as ||| A shorter version of the caption was later used as the title for Fred Shuttlesworth's biography.
As a coalfield were unhappy. ||| as ||| The town's years as a coalfield were unhappy.
As he had to construct a fleet from nothing. ||| as ||| He spent almost nine months on his preparations, as he had to construct a fleet from nothing.
After the raid. ||| after ||| Several Americans died during and after the raid.
As a relay swimmer, winning gold in the event. ||| as ||| She was selected in the 1958 British Empire and Commonwealth Games purely as a relay swimmer, winning gold in the event.
That discontent was steadily growing throughout the country. ||| that ||| Rosas failed to realize that discontent was steadily growing throughout the country.
Since 1920 with 25 percent of that occurring between the years 1980-1999. ||| since ||| It has reportedly lost over 50 percent of its volume since 1920 with 25 percent of that occurring between the years 1980-1999.
As minimal and were mainly confined to minor traffic accidents during bouts of heavy precipitation. ||| as ||| The storm's effects in Mississippi were described as minimal and were mainly confined to minor traffic accidents during bouts of heavy precipitation.
As Orton. ||| as ||| However, a former sweetheart of Orton's, Mary Ann Loder, did identify the Claimant as Orton.
After his return to Louisville, Blackburn opened a sanatorium near Cave Hill Cemetery. ||| after ||| A few months after his return to Louisville, Blackburn opened a sanatorium near Cave Hill Cemetery.
As William Cooley Jr., William Coolie, William Colee and William Cooly. ||| as ||| Cooley has been referred to as William Cooley Jr., William Coolie, William Colee and William Cooly.
That he could marry the woman and keep the Electorate, converting it into a dynastic duchy. ||| that ||| His Protestant supporters told Gebhard that he could marry the woman and keep the Electorate, converting it into a dynastic duchy.
As a captain of the Mare Island Naval Shipyard in Vallejo, California. ||| as ||| Tilley's next assignment, in March 1902, was as a captain of the Mare Island Naval Shipyard in Vallejo, California.
When depressions left behind after the ice age filled with water to form lakes. ||| when ||| They formed when depressions left behind after the ice age filled with water to form lakes.
That Texas needed to become an independent state. ||| that ||| He enumerated several grievances against the political and judicial systems and concluded that Texas needed to become an independent state.
As an editor for various publications in the New York area. ||| as ||| He was employed as an editor for various publications in the New York area.
That of Mount Tambora. ||| that ||| Therefore, volcanic activity in Indonesia is continuously monitored, including that of Mount Tambora.
Where she lived until her death in 1877. ||| where ||| Catherine moved out, taking the youngest daughter Lucy, and went to Wales where she lived until her death in 1877.
As a low-pressure system as far north as Connecticut. ||| as ||| The weakening storm accelerated towards the north-northeast, and the system was identifiable as a low-pressure system as far north as Connecticut.
Although meant to be insulting. ||| Although ||| Although meant to be insulting, Mulhern believes Murasaki was probably flattered by the nickname.
After weakening further. ||| After ||| After weakening further, Gloria passed just east of the Delmarva Peninsula and New Jersey and interacted with a cold front.
Although at this stage her whereabouts were unknown. ||| although ||| She had, without informing the court, gone to Spain, although at this stage her whereabouts were unknown.
That had tried to run through the flames were found. ||| that ||| The following morning, the bodies of two other members of Post's crew that had tried to run through the flames were found.
After David I. ||| After ||| After David I, the French-speaking kings introduced cultural practices popular in Anglo-Norman England, France and elsewhere.
As a family name for dealing with the Dutch. ||| as ||| Also in Magelang, Oerip took on his father's name, which he used as a family name for dealing with the Dutch.
As long as 8,000 to 10,000 years ago. ||| as ||| Humans may have visited the Yosemite area as long as 8,000 to 10,000 years ago.
Until the latter's death. ||| until ||| Cecil's partnership with his father continued until the latter's death.
After 1949. ||| after ||| The second category is xinbian de lishixi, historical plays written after 1949.
Than a year. ||| than ||| In March 1777, Scott returned to his Virginia farm, taking his first furlough in more than a year.
After the New Year. ||| after ||| It was then an annual custom for the Pope to receive a delegation from Rome's Jewish community shortly after the New Year.
Until Bradman was out. ||| until ||| He made him stay on the field until Bradman was out.
After two months and Playford landed at Anzac Cove on 12 September 1915. ||| after ||| Training was completed after two months and Playford landed at Anzac Cove on 12 September 1915.
After retiring from playing. ||| After ||| After retiring from playing, he coached lower-league teams before becoming a noted professional scout.
Before being caught off an inside-edge onto pad off the bowling of Aravinda de Silva. ||| before ||| In the semi-final, he scored 22 before being caught off an inside-edge onto pad off the bowling of Aravinda de Silva.
If one paid a commutable tax. ||| if ||| During the Eastern Han, conscription could be avoided if one paid a commutable tax.
Since 1856. ||| since ||| Instead, Cleveland carried his home state and a Democrat was elected president for the first time since 1856.
That Ravel had the satisfaction of seeing the ballet staged twice by other managements before Diaghilev died. ||| that ||| Nichols comments that Ravel had the satisfaction of seeing the ballet staged twice by other managements before Diaghilev died.
As the storm continued into open waters of the Caribbean. ||| As ||| As the storm continued into open waters of the Caribbean, the upper-level low gradually weakened and was replaced with an anticyclone.
That year. ||| that ||| Cooper earned a Bachelor of Arts degree from Yale in 1923 and enrolled at Harvard Law School later that year.
That year. ||| that ||| A paperback edition was issued by Pan Books in February 1960; over 115,000 copies were sold that year.
As a member of the Conservative Party. ||| as ||| He entered politics in 1861 as a member of the Conservative Party.
That he remained uncompensated continued to rankle. ||| that ||| The fact that he remained uncompensated continued to rankle.
Than that of any other region in Oregon. ||| than ||| The wildlife in the Kalmiopsis region of the Chetco watershed is more diverse than that of any other region in Oregon.
While communications were nearly wiped out. ||| while ||| Almost all roads were left impassable, while communications were nearly wiped out.
That were slated for use in 1995 are shown below, however none of them were used. ||| that ||| The next four names that were slated for use in 1995 are shown below, however none of them were used.
As Virakamparaya Charita, the book dwells on the conquest of the Madurai Sultanate by the Vijaynagara empire. ||| as ||| Also knwon as Virakamparaya Charita, the book dwells on the conquest of the Madurai Sultanate by the Vijaynagara empire.
As he was 17 years old. ||| As ||| As he was 17 years old, Shadrick had to convince his parents to sign papers allowing him to enlist.
That he would have President Abraham Lincoln arraigned for treason. ||| that ||| Burnett promised the voters of his district that he would have President Abraham Lincoln arraigned for treason.
That Pericles sought for the expansion and stabilization of all democratic institutions. ||| that ||| Constantine Paparrigopoulos, a major modern Greek historian, argues that Pericles sought for the expansion and stabilization of all democratic institutions.
After his chief sponsors. ||| after ||| The outlines of this land soon became faintly visible, and Bruce named it Coats Land after his chief sponsors.
After it was ruled that he had acted in self-defence. ||| after ||| The charge was later reduced to manslaughter and Gomez was cleared after it was ruled that he had acted in self-defence.
Rather than the nationalisation of the mining industry. ||| rather than ||| Contrary to mainstream Labour Party policy, Davies advocated workers' control rather than the nationalisation of the mining industry.
Before Tilley arrived in Samoa, the political situation there was shifting. ||| before ||| Even before Tilley arrived in Samoa, the political situation there was shifting.
Though all of the crew survived. ||| though ||| Offshore, the fishing smack Wallace A. McDonnell was beached near Piney Point, though all of the crew survived.
